timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,311,89.92118613038208,258.0039113170878,0.38,0.24,287.22,9.936894669532776
20000,218,88.0915399560405,237.1832885420227,0.34,0.18,354.98,10.902278094291686
30000,199,74.36910935493927,234.40363565532147,0.3,0.2,359.24,9.906806272268295
40000,190,69.43394605332328,214.20697248126973,0.26,0.14,426.52,9.99733656167984
50000,186,130.61297468859595,198.65690521324314,0.34,0.04,436.04,10.753369474411011
60000,183,155.91397195138492,228.5606938315324,0.46,0.1,352.84,9.350139412879944
70000,181,107.54198173747882,228.16547475749644,0.36,0.12,376.48,8.247346136569977
80000,180,142.29690998441484,224.6507105858695,0.42,0.08,379.76,8.35813321352005
90000,180,61.319960138515825,244.72818876093217,0.32,0.24,330.36,6.47154192045331
100000,179,118.2941794673896,225.63434890541004,0.36,0.12,374.16,8.936952322721481
110000,178,179.01987339494394,197.9472993609482,0.46,0.0,394.16,8.88461004137993
120000,178,207.13845251504716,203.07783953566374,0.54,0.02,352.4,9.240806694030761
130000,177,197.2646774975462,193.69020854086656,0.5,0.0,368.48,8.192186207771302
140000,177,195.96751163961858,205.8338786900003,0.5,0.02,370.22,9.599111638069154
150000,176,144.958194089278,213.70245453083425,0.4,0.06,386.24,8.650926088094712
160000,176,136.2110145598446,214.56677652947712,0.38,0.06,408.34,9.236462581157685
170000,176,152.90265844542503,222.59250964117072,0.44,0.08,362.4,7.866316670328379
180000,175,125.20195140188343,201.488030036437,0.34,0.04,427.98,8.337980229854583
190000,175,151.98953735529395,222.741315657173,0.44,0.08,348.4,7.974058225750923
200000,175,197.06466495221648,202.62109560903815,0.52,0.02,347.42,7.634833513200283
210000,175,90.23401386657257,199.39398304414263,0.28,0.08,431.32,6.984662919640541
220000,175,156.60340684345263,200.8657006475753,0.42,0.02,397.08,7.676530754566192
230000,175,138.97941843187806,232.49254450413054,0.42,0.1,351.42,10.17684400677681
240000,174,103.1390934757596,187.64671462536575,0.28,0.04,441.3,9.209861226081848
250000,174,158.41759596940793,190.63848009778073,0.4,0.0,415.92,7.697061495780945
260000,174,135.8833374412225,209.61409498775015,0.38,0.06,385.46,8.393854116201402
270000,174,179.66521013781497,207.68870324667617,0.48,0.04,344.02,8.001887012720108
280000,174,168.90246552720936,223.08739938176112,0.48,0.06,337.4,7.521912467479706
290000,174,179.40115298248816,203.87839622143684,0.46,0.02,384.42,9.13804539680481
300000,174,99.44285299499907,185.6186625567296,0.28,0.02,463.38,7.0120103931427
310000,174,200.20515127593956,232.60112550106626,0.56,0.08,295.86,8.833717080950738
320000,174,225.67534526934745,207.98206986860166,0.6,0.04,292.34,8.6378249335289
330000,174,217.96718811730446,203.67765972781498,0.58,0.02,301.46,6.805381956100464
340000,174,174.03234794100834,205.9423290514579,0.46,0.02,364.4,7.661947748661041
350000,174,189.43382610272567,208.7411230111934,0.5,0.02,347.8,8.034653979539872
360000,174,206.62427487969424,202.8036815723883,0.54,0.02,345.5,8.066086062714458
370000,174,149.92981428007275,191.58388877585892,0.38,0.0,425.02,8.586338151693344
380000,174,199.99237036813946,202.47050324054106,0.52,0.02,341.32,8.01773064494133
390000,174,173.79751953516478,215.89000180436332,0.48,0.04,355.24,6.8279247599840165
400000,174,219.1906285482472,212.42221401652637,0.58,0.04,300.32,8.79722112417221
410000,174,173.44674332510513,217.82895456767764,0.48,0.06,350.24,8.267321784496307
420000,174,246.51961058643315,201.15017126171898,0.64,0.02,282.92,8.503702836036682
430000,174,192.96620302200333,227.9791253656197,0.54,0.08,298.76,8.263406918048858
440000,174,179.4336575503344,210.3826232233966,0.48,0.04,353.44,7.666861168146133
450000,174,240.81951373986234,199.26497056144186,0.62,0.02,291.3,8.76478417634964
460000,174,182.82644724895866,209.56114663647222,0.5,0.04,340.44,7.02569053530693
470000,174,219.3092714090027,211.0353140023858,0.58,0.04,300.58,8.281321012973786
480000,174,202.64280536357117,201.35691649775356,0.52,0.02,328.78,9.46108074426651
490000,174,189.17987433418745,218.94695623423092,0.52,0.06,322.78,9.029998632073402
500000,174,195.24525204638337,204.88489961424506,0.52,0.02,329.92,7.544940043091774
510000,174,172.9857783777869,218.9373178239827,0.48,0.04,348.04,7.80376930296421
520000,174,202.2348546368632,201.15020077712106,0.52,0.0,350.32,8.252684532403945
530000,174,180.66400833682113,197.7233173233101,0.46,0.0,379.1,7.84484122633934
540000,174,232.13484149405755,199.03640528305175,0.6,0.02,297.56,8.849358060359954
550000,174,225.84513969297205,202.7953047036842,0.58,0.02,309.5,9.218284758329391
560000,174,199.06367453483873,224.12571565222842,0.56,0.08,302.38,8.34215350151062
570000,174,174.1626007762428,220.1392890095178,0.48,0.06,342.08,8.259088494181633
580000,174,260.1122515234643,190.8881804086237,0.66,0.0,287.98,9.162671411633491
590000,174,202.6105587938072,204.68180484892923,0.52,0.02,336.7,8.742157528102398
600000,174,154.99457250638886,203.39050740830092,0.4,0.02,390.64,8.126453801095487
610000,174,275.7534082025499,180.17211540661094,0.7,0.0,262.38,10.171960432529449
620000,174,198.9635846015405,222.45798131355957,0.54,0.06,319.48,9.105125696659089
630000,174,251.19733404517436,207.99016393560294,0.66,0.04,263.22,9.298989235162734
